Transaction ID,Date,Customer ID,Gender,Age,Product Category,Product,Quantity,Price per Unit,Total Amount
T00128,2023-10-29,C1231,Female,27,Sports,Cricket Bat,2,2278.03,4556.06
T00129,2024-05-14,C1420,Female,65,Electronics,Headphones,3,2640.91,7922.73
T00130,2023-01-14,C1121,Female,29,Beauty,Face Cream,2,991.79,1983.58
T00131,2023-03-11,C1312,Female,28,Clothing,Jeans,5,1728.69,8643.45
T00132,2023-01-20,C1394,Male,64,Electronics,Headphones,5,2218.54,11092.7
T00133,2024-02-09,C1202,Male,38,Electronics,Headphones,2,2418.64,4837.28
T00134,2024-08-05,C1004,Male,37,Clothing,Dress,4,2720.65,10882.6
T00135,2024-05-14,C1388,Male,33,Sports,Running Shoes,3,3477.82,10433.46
T00136,2023-07-30,C1406,Female,36,Clothing,Jeans,2,1855.16,3710.32
T00137,2024-12-04,C1019,Male,55,Beauty,Skin Care Kit,4,1953.84,7815.36
T00138,2024-09-19,C1113,Male,50,Home & Kitchen,Table Lamp,4,1064.06,4256.24
T00139,2023-04-28,C1301,Female,28,Clothing,Jacket,4,3747.45,14989.8
T00140,2024-02-03,C1198,Female,37,Sports,Yoga Mat,1,937.14,937.14
T00141,2024-05-19,C1500,Female,43,Sports,Dumbbells,3,2358.39,7075.17
T00142,2023-09-11,C1118,Female,30,Clothing,Shoes,2,2851.06,5702.12
T00143,2023-10-29,C1410,Male,36,Clothing,Shoes,1,3386.66,3386.66
T00144,2023-03-15,C1192,Female,54,Clothing,Jacket,5,3859.03,19295.15
T00145,2023-10-22,C1498,Male,21,Clothing,Shoes,4,2670.13,10680.52
T00146,2023-07-01,C1174,Female,53,Electronics,Headphones,1,2710.16,2710.16
T00147,2024-07-01,C1213,Female,48,Beauty,Shampoo,4,400.77,1603.08
T00148,2023-08-08,C1270,Male,45,Beauty,Shampoo,2,420.6,841.2
T00149,2023-08-16,C1184,Male,23,Electronics,Smartphone,2,33103.1,66206.2
T00150,2023-07-15,C1178,Male,60,Clothing,Jacket,4,3625.68,14502.72
T00151,2023-07-22,C1148,Male,32,Sports,Yoga Mat,3,858.78,2576.34
T00152,2023-11-10,C1021,Female,31,Electronics,Smartwatch,2,8786.88,17573.76
T00153,2023-11-01,C1403,Male,43,Electronics,Smartphone,5,31387.57,156937.85
T00154,2024-02-29,C1161,Male,29,Clothing,Jacket,1,3969.39,3969.39
T00155,2024-08-20,C1289,Male,59,Sports,Cricket Bat,5,2293.99,11469.95
T00156,2024-11-11,C1423,Female,45,Electronics,Laptop,5,59684.49,298422.45
T00157,2024-07-30,C1330,Male,63,Beauty,Perfume,1,2274.51,2274.51
T00158,2023-04-08,C1144,Male,65,Home & Kitchen,Table Lamp,5,1360.45,6802.25
T00159,2023-10-21,C1444,Male,29,Electronics,Headphones,5,2686.96,13434.8
T00160,2024-06-15,C1154,Male,49,Home & Kitchen,Bedsheet,2,1715.13,3430.26
T00161,2024-12-26,C1116,Female,57,Clothing,Dress,4,2514.54,10058.16
T00162,2023-01-26,C1369,Female,57,Beauty,Shampoo,3,510.3,1530.9
T00163,2023-04-07,C1042,Female,20,Beauty,Face Cream,1,790.42,790.42
T00164,2023-06-27,C1427,Female,40,Beauty,Shampoo,3,396.74,1190.22
T00165,2024-05-22,C1476,Female,29,Electronics,Headphones,5,2848.36,14241.8
T00166,2024-07-12,C1399,Female,25,Home & Kitchen,Mixer Grinder,4,3265.26,13061.04
T00167,2024-01-22,C1365,Female,23,Clothing,Jeans,2,1771.71,3543.42
T00168,2023-08-08,C1129,Female,57,Electronics,Headphones,3,2332.68,6998.04
T00169,2024-01-01,C1246,Male,54,Electronics,Smartwatch,4,8768.91,35075.64
T00170,2023-05-09,C1063,Male,63,Beauty,Lipstick,1,763.76,763.76
T00171,2023-04-12,C1223,Male,30,Beauty,Skin Care Kit,5,1890.68,9453.4
T00172,2024-10-27,C1382,Female,20,Electronics,Headphones,3,2640.15,7920.45
T00173,2024-04-30,C1434,Male,46,Beauty,Skin Care Kit,3,1631.2,4893.6
T00174,2023-12-30,C1364,Female,28,Electronics,Headphones,4,2360.76,9443.04
T00175,2024-04-20,C1286,Female,39,Beauty,Perfume,5,2037.85,10189.25
T00176,2024-11-05,C1180,Male,43,Electronics,Smartphone,5,26516.49,132582.45
T00177,2023-10-06,C1176,Female,35,Home & Kitchen,Cookware Set,1,3001.32,3001.32
T00178,2023-10-16,C1212,Female,47,Clothing,T-Shirt,5,873.49,4367.45
T00179,2023-02-16,C1423,Male,57,Sports,Running Shoes,2,3790.12,7580.24
T00180,2024-10-01,C1191,Male,25,Electronics,Laptop,4,59680.0,238720.0
T00181,2023-07-10,C1021,Male,64,Clothing,Jacket,4,3884.71,15538.84
T00182,2024-04-04,C1401,Female,63,Electronics,Headphones,1,2352.96,2352.96
T00183,2024-10-07,C1251,Male,32,Sports,Yoga Mat,3,780.96,2342.88
T00184,2024-09-03,C1328,Male,63,Sports,Football,3,1059.96,3179.88
T00185,2023-10-08,C1424,Male,31,Clothing,Jacket,3,4000.64,12001.92
T00186,2024-12-13,C1284,Female,20,Beauty,Face Cream,1,843.9,843.9
T00187,2024-01-10,C1121,Male,26,Home & Kitchen,Water Bottle,5,569.42,2847.1
T00188,2024-03-12,C1317,Male,31,Beauty,Shampoo,3,500.32,1500.96
T00189,2023-03-30,C1142,Male,50,Beauty,Shampoo,1,415.16,415.16
T00190,2024-12-08,C1068,Female,31,Electronics,Headphones,5,2347.93,11739.65
T00191,2024-09-23,C1127,Male,63,Electronics,Tablet,2,23107.51,46215.02
T00192,2024-07-29,C1494,Female,29,Sports,Running Shoes,1,3742.35,3742.35
T00193,2024-11-14,C1417,Male,22,Sports,Cricket Bat,5,2516.08,12580.4
T00194,2024-04-26,C1216,Female,26,Beauty,Skin Care Kit,5,1813.63,9068.15
T00195,2024-08-10,C1174,Male,57,Clothing,T-Shirt,5,846.67,4233.35
T00196,2024-06-16,C1307,Male,46,Clothing,T-Shirt,3,894.21,2682.63
T00197,2023-12-14,C1028,Female,21,Home & Kitchen,Water Bottle,1,530.4,530.4
T00198,2023-06-11,C1347,Male,39,Sports,Dumbbells,4,2191.86,8767.44
T00199,2024-10-26,C1210,Male,55,Sports,Yoga Mat,1,837.62,837.62
T00200,2024-04-11,C1380,Female,43,Home & Kitchen,Mixer Grinder,5,3471.12,17355.6
T00201,2024-02-28,C1142,Female,62,Beauty,Face Cream,1,886.63,886.63
T00202,2023-02-18,C1302,Female,30,Electronics,Headphones,5,2480.72,12403.6
T00203,2023-12-07,C1245,Male,50,Electronics,Laptop,3,71706.53,215119.59
T00204,2024-07-02,C1305,Male,58,Sports,Yoga Mat,2,844.24,1688.48
T00205,2024-07-04,C1397,Female,56,Beauty,Perfume,1,1945.13,1945.13
T00206,2023-06-17,C1108,Male,63,Electronics,Headphones,3,2462.95,7388.85
T00207,2023-08-28,C1417,Female,62,Electronics,Headphones,4,2786.69,11146.76
T00208,2023-06-23,C1343,Male,22,Beauty,Skin Care Kit,2,2045.73,4091.46
T00209,2023-11-20,C1478,Male,35,Electronics,Smartwatch,1,8249.11,8249.11
T00210,2023-03-25,C1113,Female,36,Electronics,Laptop,4,62446.53,249786.12
T00211,2023-04-15,C1202,Female,32,Beauty,Perfume,4,1922.92,7691.68
T00212,2024-07-16,C1118,Female,27,Home & Kitchen,Cookware Set,3,2878.68,8636.04
T00213,2024-10-28,C1117,Female,20,Beauty,Perfume,1,1971.85,1971.85
T00214,2023-09-15,C1081,Female,33,Electronics,Smartphone,5,26097.99,130489.95
T00215,2023-12-23,C1213,Male,18,Home & Kitchen,Mixer Grinder,4,3284.79,13139.16
T00216,2024-03-13,C1107,Female,55,Electronics,Laptop,1,69468.88,69468.88
T00217,2024-09-25,C1030,Male,26,Clothing,Jeans,4,1893.4,7573.6
T00218,2023-06-21,C1335,Male,20,Home & Kitchen,Water Bottle,4,544.76,2179.04
T00219,2024-11-09,C1290,Male,53,Beauty,Perfume,3,2254.25,6762.75
T00220,2023-07-12,C1047,Female,54,Home & Kitchen,Water Bottle,5,521.86,2609.3
T00221,2024-03-02,C1495,Female,35,Beauty,Shampoo,3,385.94,1157.82
T00222,2024-01-27,C1418,Female,55,Beauty,Lipstick,3,660.36,1981.08
T00223,2024-03-09,C1325,Female,48,Electronics,Tablet,4,22393.94,89575.76
T00224,2024-03-05,C1363,Male,21,Clothing,Jacket,3,3987.22,11961.66
T00225,2023-09-02,C1030,Female,23,Clothing,Jacket,2,3390.21,6780.42
T00226,2023-02-04,C1087,Female,54,Electronics,Smartphone,5,33019.32,165096.6
T00227,2024-03-06,C1126,Male,46,Sports,Dumbbells,2,2415.63,4831.26
T00228,2023-03-10,C1165,Female,65,Clothing,Dress,1,2414.13,2414.13
T00229,2024-01-14,C1343,Female,62,Sports,Yoga Mat,1,908.71,908.71
T00230,2024-05-11,C1341,Female,49,Beauty,Lipstick,3,658.49,1975.47
T00231,2024-01-20,C1092,Female,56,Home & Kitchen,Water Bottle,5,569.96,2849.8
T00232,2024-03-10,C1273,Female,51,Beauty,Skin Care Kit,3,1611.28,4833.84
T00233,2023-06-14,C1487,Female,39,Beauty,Lipstick,4,658.1,2632.4
T00234,2024-10-20,C1064,Female,54,Clothing,Shoes,4,3317.3,13269.2
T00235,2023-09-03,C1149,Male,62,Electronics,Headphones,5,2574.34,12871.7
T00236,2024-06-07,C1070,Male,37,Home & Kitchen,Bedsheet,4,1300.98,5203.92
T00237,2024-08-04,C1183,Male,65,Clothing,T-Shirt,3,791.04,2373.12
T00238,2024-02-11,C1399,Female,50,Electronics,Smartphone,4,28072.05,112288.2
T00239,2024-12-31,C1082,Female,34,Beauty,Lipstick,3,787.93,2363.79
T00240,2023-12-31,C1163,Female,64,Electronics,Tablet,3,22673.97,68021.91
T00241,2023-05-27,C1063,Female,34,Sports,Yoga Mat,4,765.86,3063.44
T00242,2023-10-14,C1208,Female,64,Sports,Football,3,1031.08,3093.24
T00243,2023-11-16,C1126,Female,20,Sports,Cricket Bat,5,2147.91,10739.55
T00244,2023-10-13,C1057,Female,41,Clothing,Shoes,4,3273.99,13095.96
T00245,2023-11-23,C1030,Female,43,Electronics,Headphones,3,2275.49,6826.47
T00246,2024-07-02,C1141,Female,54,Sports,Football,1,1143.04,1143.04
T00247,2023-07-13,C1191,Female,18,Clothing,Shoes,4,3142.69,12570.76
T00248,2023-12-24,C1075,Male,21,Sports,Yoga Mat,2,785.97,1571.94
T00249,2023-10-17,C1045,Female,30,Sports,Football,3,1247.55,3742.65
T00250,2024-10-18,C1375,Female,33,Sports,Running Shoes,3,4027.09,12081.27
T00251,2024-03-25,C1474,Male,55,Clothing,Jeans,2,1660.8,3321.6
T00252,2024-09-23,C1382,Female,20,Clothing,Shoes,4,3327.06,13308.24
T00253,2023-08-21,C1158,Male,56,Sports,Football,5,1229.97,6149.85
T00254,2024-12-26,C1031,Female,36,Clothing,Shoes,5,3093.14,15465.7
T00255,2024-10-21,C1160,Female,25,Electronics,Laptop,2,66674.36,133348.72
T00256,2023-01-30,C1191,Male,41,Beauty,Face Cream,2,957.77,1915.54
T00257,2024-09-22,C1415,Male,25,Sports,Dumbbells,5,2475.08,12375.4
T00258,2024-07-14,C1079,Male,28,Home & Kitchen,Cookware Set,2,3071.97,6143.94
T00259,2024-12-26,C1294,Female,43,Beauty,Perfume,1,2207.35,2207.35
T00260,2023-06-06,C1156,Male,23,Electronics,Laptop,2,64355.88,128711.76
T00261,2024-11-04,C1428,Female,36,Beauty,Lipstick,1,670.65,670.65
T00262,2023-07-17,C1112,Male,30,Sports,Dumbbells,4,2468.75,9875.0
T00263,2024-12-29,C1120,Female,40,Electronics,Tablet,3,19289.31,57867.93
T00264,2024-06-19,C1364,Male,30,Beauty,Face Cream,5,957.52,4787.6
T00265,2024-06-16,C1340,Male,42,Sports,Football,1,1263.4,1263.4
T00266,2024-05-16,C1304,Male,59,Home & Kitchen,Bedsheet,3,1564.87,4694.61
T00267,2023-08-15,C1236,Male,65,Home & Kitchen,Water Bottle,1,496.4,496.4
T00268,2024-02-01,C1100,Male,30,Home & Kitchen,Mixer Grinder,4,3876.9,15507.6
T00269,2023-04-10,C1109,Female,28,Clothing,Jeans,1,1884.97,1884.97
T00270,2023-10-01,C1003,Female,41,Clothing,Shoes,5,2815.77,14078.85
T00271,2024-03-13,C1065,Female,45,Home & Kitchen,Water Bottle,4,432.83,1731.32
T00272,2023-02-18,C1118,Female,52,Home & Kitchen,Water Bottle,5,468.11,2340.55
T00273,2024-11-07,C1102,Male,27,Sports,Cricket Bat,5,2325.69,11628.45
T00274,2024-01-22,C1111,Male,27,Sports,Cricket Bat,1,2218.28,2218.28
T00275,2024-02-13,C1228,Female,41,Beauty,Perfume,4,2262.79,9051.16
T00276,2023-06-05,C1272,Male,18,Beauty,Face Cream,4,872.36,3489.44
T00277,2024-11-12,C1187,Female,44,Home & Kitchen,Mixer Grinder,4,3999.81,15999.24
T00278,2024-05-15,C1153,Male,24,Beauty,Perfume,2,1989.95,3979.9
T00279,2024-07-08,C1373,Male,29,Home & Kitchen,Mixer Grinder,2,3209.43,6418.86
T00280,2023-06-09,C1331,Female,64,Home & Kitchen,Water Bottle,5,571.13,2855.65
T00281,2024-10-05,C1104,Male,62,Sports,Yoga Mat,1,843.61,843.61
T00282,2023-07-24,C1079,Female,51,Clothing,Jacket,5,3214.65,16073.25
T00283,2024-09-22,C1133,Female,43,Clothing,Dress,4,2168.38,8673.52
T00284,2023-08-21,C1017,Male,49,Electronics,Tablet,2,22954.3,45908.6
T00285,2023-01-25,C1394,Female,59,Beauty,Lipstick,2,636.12,1272.24
T00286,2023-12-26,C1068,Female,30,Electronics,Headphones,5,2332.18,11660.9
T00287,2023-08-04,C1438,Female,64,Clothing,Dress,3,2319.93,6959.79
T00288,2023-01-05,C1084,Female,58,Beauty,Shampoo,1,502.67,502.67
T00289,2023-01-15,C1224,Female,50,Clothing,Dress,1,2460.76,2460.76
T00290,2024-07-27,C1086,Female,22,Beauty,Skin Care Kit,2,1896.99,3793.98
T00291,2024-06-01,C1093,Male,48,Electronics,Smartphone,2,27122.77,54245.54
T00292,2023-11-27,C1333,Male,50,Electronics,Tablet,5,19029.86,95149.3
T00293,2023-09-29,C1068,Female,61,Home & Kitchen,Cookware Set,3,2709.16,8127.48
T00294,2023-11-28,C1139,Female,43,Clothing,Jacket,4,4019.56,16078.24
T00295,2023-06-03,C1390,Male,40,Electronics,Smartwatch,1,9006.53,9006.53
T00296,2023-09-02,C1336,Female,51,Beauty,Shampoo,4,489.5,1958.0
T00297,2024-04-22,C1352,Female,30,Home & Kitchen,Cookware Set,2,3016.14,6032.28
T00298,2024-08-22,C1242,Male,34,Electronics,Tablet,1,21724.35,21724.35
T00299,2024-05-26,C1156,Female,27,Beauty,Skin Care Kit,4,1536.54,6146.16
T00300,2023-11-18,C1055,Male,59,Electronics,Smartphone,3,25914.51,77743.53
T00301,2024-10-14,C1173,Female,46,Electronics,Headphones,5,2309.36,11546.8
T00302,2023-05-09,C1160,Female,44,Beauty,Face Cream,4,843.0,3372.0
T00303,2024-09-20,C1094,Male,20,Beauty,Perfume,5,2187.82,10939.1
T00304,2023-01-17,C1274,Male,44,Beauty,Lipstick,3,794.7,2384.1
T00305,2023-04-24,C1257,Male,44,Home & Kitchen,Table Lamp,4,1159.08,4636.32
T00306,2024-12-15,C1041,Female,40,Sports,Cricket Bat,2,2813.68,5627.36
T00307,2024-08-02,C1197,Male,34,Beauty,Perfume,5,1893.77,9468.85
T00308,2024-02-07,C1109,Female,29,Clothing,Jacket,3,3423.88,10271.64
T00309,2023-03-25,C1399,Female,38,Home & Kitchen,Water Bottle,2,558.88,1117.76
T00310,2023-05-27,C1112,Male,25,Clothing,Jeans,4,1640.41,6561.64
T00311,2024-12-07,C1367,Female,32,Clothing,Dress,1,2398.27,2398.27
T00312,2023-01-04,C1323,Female,46,Electronics,Headphones,5,2670.06,13350.3
T00313,2023-09-11,C1181,Female,40,Electronics,Smartphone,1,29669.64,29669.64
T00314,2024-10-11,C1168,Male,23,Sports,Yoga Mat,1,924.42,924.42
T00315,2023-02-07,C1499,Female,39,Home & Kitchen,Table Lamp,5,1177.49,5887.45
T00316,2024-06-25,C1190,Female,40,Home & Kitchen,Water Bottle,1,552.26,552.26
T00317,2024-05-10,C1379,Male,31,Clothing,Shoes,1,2777.53,2777.53
T00318,2024-07-24,C1287,Female,25,Electronics,Tablet,5,22280.31,111401.55
T00319,2024-06-04,C1465,Female,51,Electronics,Smartphone,2,25686.04,51372.08
T00320,2024-03-11,C1111,Female,34,Clothing,Jacket,2,3480.96,6961.92
T00321,2023-07-10,C1217,Female,55,Beauty,Perfume,3,2370.94,7112.82
